id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,name,url,alternate_url,logo_urls,90,240,vacancies_url,trusted,snippet,responsibility,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
70105818,False,Менеджер по маркетплейсам /Аналитик по продажам / Маркетолог,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 30000, 'to': 55000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Орёл', 'street': 'улица Тургенева', 'building': '16', 'description': None, 'lat': 52.967551, 'lng': 36.061798, 'raw': 'Орёл, улица Тургенева, 16', 'metro': None, 'metro_stations': [], 'id': '6294356'}",,,2022-10-03T14:57:42+0300,2022-10-03T14:57:42+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70105818,,https://api.hh.ru/vacancies/70105818?host=hh.ru,https://api.hh.ru/vacancies/70105818/adv_response?host=hh.ru,https://hh.ru/vacancy/70105818,[],"{'id': '5025528', 'name': 'Маркетплейс Консалтинг', 'url': 'https://api.hh.ru/employers/5025528', 'alternate_url': 'https://hh.ru/employer/5025528', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/902352.png', '90': 'https://hhcdn.ru/employer-logo/4050095.png', '240': 'https://hhcdn.ru/employer-logo/4050096.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5025528', 'trusted': True}",Менеджер по маркетплейсам /Аналитик по продажам / Маркетолог,https://api.hh.ru/vacancies/70105818?host=hh.ru,https://hh.ru/vacancy/70105818,,,,,,"{'requirement': 'Опыт в маркетинге, <highlighttext>аналитике</highlighttext> продаж, маркетинговых стратегиях и <highlighttext>аналитике</highlighttext>. Аналитический и математический склад ума. Базовый уровень знаний СЕО и SMM. ', 'responsibility': 'Реализация инструментов продвижения карточек и маркетинговых планов. Работа в связке с фин-<highlighttext>аналитиком</highlighttext>, отделом репутации бренда. Работа со сводными и...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True
70418691,False,Аналитик,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-27T15:13:27+0300,2022-09-27T15:13:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70418691,,https://api.hh.ru/vacancies/70418691?host=hh.ru,https://api.hh.ru/vacancies/70418691/adv_response?host=hh.ru,https://hh.ru/vacancy/70418691,[],"{'id': '4903713', 'name': 'Диалог Регионы', 'url': 'https://api.hh.ru/employers/4903713', 'alternate_url': 'https://hh.ru/employer/4903713', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3743375.png', '240': 'https://hhcdn.ru/employer-logo/3743376.png', 'original': 'https://hhcdn.ru/employer-logo-original/825622.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4903713', 'trusted': True}",Аналитик,https://api.hh.ru/vacancies/70418691?host=hh.ru,https://hh.ru/vacancy/70418691,,,,,,"{'requirement': 'Высшее образование (желательно социология, политология, журналистика, история, философия). Желателен опыт работы с системами мониторинга СМИ и соцсетей. Способность работать с...', 'responsibility': 'Профессиональный мониторинг инфополя с применением специальных сервисов (Медиалогия, Brand Analytics). Создание аналитических продуктов, разработка аналитических записок по тематическому запросу, отчеты...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70093466,False,Аналитик контактного центра,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': None, 'to': 80000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Орёл', 'street': 'Полесская улица', 'building': '6', 'description': None, 'lat': 52.972079, 'lng': 36.056857, 'raw': 'Орёл, Полесская улица, 6', 'metro': None, 'metro_stations': [], 'id': '3413021'}",,,2022-09-21T12:10:40+0300,2022-09-21T12:10:40+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70093466,,https://api.hh.ru/vacancies/70093466?host=hh.ru,https://api.hh.ru/vacancies/70093466/adv_response?host=hh.ru,https://hh.ru/vacancy/70093466,[],"{'id': '1272486', 'name': 'СберМаркет', 'url': 'https://api.hh.ru/employers/1272486', 'alternate_url': 'https://hh.ru/employer/1272486', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3899103.png', '240': 'https://hhcdn.ru/employer-logo/3899104.png', 'original': 'https://hhcdn.ru/employer-logo-original/864557.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1272486', 'trusted': True}",Аналитик контактного центра,https://api.hh.ru/vacancies/70093466?host=hh.ru,https://hh.ru/vacancy/70093466,,,,,,"{'requirement': 'Понимание методологии расчета основных показателей контакт-центра. Знание принципов, методов и инструментов анализа данных. MS Office: продвинутый уровень. ', 'responsibility': 'Подготовка и анализ отчетности, поиск путей оптимизации. Создание единой системы <highlighttext>аналитики</highlighttext> показателей контакт-центра, обеспечивающей сбор, обобщение, анализ информации, прогнозирование...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69711486,False,Аналитик,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 42700, 'to': 47700, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Орёл', 'street': 'площадь Мира', 'building': '7', 'description': None, 'lat': 52.968972, 'lng': 36.077177, 'raw': 'Орёл, площадь Мира, 7', 'metro': None, 'metro_stations': [], 'id': '6405706'}",,,2022-09-12T12:53:14+0300,2022-09-12T12:53:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69711486,,https://api.hh.ru/vacancies/69711486?host=hh.ru,https://api.hh.ru/vacancies/69711486/adv_response?host=hh.ru,https://hh.ru/vacancy/69711486,[],"{'id': '2962762', 'name': 'Объединенная домостроительная корпорация', 'url': 'https://api.hh.ru/employers/2962762', 'alternate_url': 'https://hh.ru/employer/2962762', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/4086372.jpeg', '90': 'https://hhcdn.ru/employer-logo/4086371.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/911421.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2962762', 'trusted': True}",Аналитик,https://api.hh.ru/vacancies/69711486?host=hh.ru,https://hh.ru/vacancy/69711486,,,,,,"{'requirement': 'Высшее образование (экономика/финансы). Опыт работы инвестиционным <highlighttext>аналитиком</highlighttext> будет преимуществом. Знание принципов, методов и инструментов анализа данных. Excel, Power Point...', 'responsibility': 'Проведение маркетинговых исследований (расчет темпов продаж, цен, прогнозирование выручки проекта). Мониторинг рынка жилой недвижимости, выявление трендов. Формирование планов продаж и...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69762628,False,Финансовый аналитик,"{'id': '1947314-1947314-ancor', 'name': 'ANCOR'}",False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-13T13:43:59+0300,2022-09-13T13:43:59+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69762628,,https://api.hh.ru/vacancies/69762628?host=hh.ru,https://api.hh.ru/vacancies/69762628/adv_response?host=hh.ru,https://hh.ru/vacancy/69762628,[],"{'id': '1947314', 'name': 'ANCOR', 'url': 'https://api.hh.ru/employers/1947314', 'alternate_url': 'https://hh.ru/employer/1947314', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/785003.png', '240': 'https://hhcdn.ru/employer-logo/3580904.png', '90': 'https://hhcdn.ru/employer-logo/3580903.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1947314', 'trusted': True}",Финансовый аналитик,https://api.hh.ru/vacancies/69762628?host=hh.ru,https://hh.ru/vacancy/69762628,,,,,,"{'requirement': 'Опыт работы <highlighttext>аналитиком</highlighttext> от 1 года. Высшее образование (экономическое или финансовое). Владение бухгалтерскими программами. Хорошее владение английским языком (pre-intermediate...', 'responsibility': 'Своевременный сбор, анализ и предоставление результатов анализа и всей необходимой информации для нужд планирования и бюджетирования. Анализ основных финансовых показателей...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
67982286,False,Системный аналитик,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Орёл', 'street': 'Наугорское шоссе', 'building': '5', 'description': None, 'lat': 52.980354, 'lng': 36.049231, 'raw': 'Орёл, Наугорское шоссе, 5', 'metro': None, 'metro_stations': [], 'id': '3906856'}",,,2022-09-12T07:44:25+0300,2022-09-12T07:44:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=67982286,"{'id': '30117', 'url': 'https://hh.ru/interview/30117?employerId=798923'}",https://api.hh.ru/vacancies/67982286?host=hh.ru,https://api.hh.ru/vacancies/67982286/adv_response?host=hh.ru,https://hh.ru/vacancy/67982286,[],"{'id': '798923', 'name': 'VOXYS', 'url': 'https://api.hh.ru/employers/798923', 'alternate_url': 'https://hh.ru/employer/798923', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/790357.png', '240': 'https://hhcdn.ru/employer-logo/3602320.png', '90': 'https://hhcdn.ru/employer-logo/3602319.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=798923', 'trusted': True}",Системный аналитик,https://api.hh.ru/vacancies/67982286?host=hh.ru,https://hh.ru/vacancy/67982286,,,,,,"{'requirement': 'Знания и опыт использования нотаций UML , BPMN и др.. Опыт работы <highlighttext>аналитиком</highlighttext> на крупных IT проектах. Опыт работы с разработчиками...', 'responsibility': 'Исследование бизнес-процессов заказчика, сбор требований. Разработка функциональных требований и ТЗ на разработку сервисов, постановка задач разработчикам. Тестирование разработанного ПО...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69731059,False,Маркетолог-аналитик,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 40000, 'to': 70000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-12T18:25:37+0300,2022-09-12T18:25:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69731059,,https://api.hh.ru/vacancies/69731059?host=hh.ru,https://api.hh.ru/vacancies/69731059/adv_response?host=hh.ru,https://hh.ru/vacancy/69731059,[],"{'id': '4387544', 'name': 'Пронто Телеком', 'url': 'https://api.hh.ru/employers/4387544', 'alternate_url': 'https://hh.ru/employer/4387544', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/833240.png', '90': 'https://hhcdn.ru/employer-logo/3773843.png', '240': 'https://hhcdn.ru/employer-logo/3773844.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4387544', 'trusted': True}",Маркетолог-аналитик,https://api.hh.ru/vacancies/69731059?host=hh.ru,https://hh.ru/vacancy/69731059,,,,,,"{'requirement': 'Опыт практического маркетинга. Успешные кейсы продвижения продукта\\ услуги \\компании. Навыки копирайтинга. Понимание отрасли.', 'responsibility': 'Выстраивание стратегии по привлечению B2B клиентов. Взаимодействие с отделом продаж, другими отделами, внешними заказчиками. <highlighttext>Аналитика</highlighttext> рынков (услуги), вынесение...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69652461,False,Категорийный менеджер (маркетплейсы),,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 40000, 'to': 50000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T14:51:49+0300,2022-10-03T14:51:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69652461,,https://api.hh.ru/vacancies/69652461?host=hh.ru,https://api.hh.ru/vacancies/69652461/adv_response?host=hh.ru,https://hh.ru/vacancy/69652461,[],"{'id': '1248299', 'name': 'Хоум Тренд Солюшинс', 'url': 'https://api.hh.ru/employers/1248299', 'alternate_url': 'https://hh.ru/employer/1248299', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1248299', 'trusted': True}",Категорийный менеджер (маркетплейсы),https://api.hh.ru/vacancies/69652461?host=hh.ru,https://hh.ru/vacancy/69652461,,,,,,"{'requirement': '...WB/Ozon ) будт плюсом. Аналитический склад ума. Уверенный пользователь ПК (Excel, Word, гугл таблицы). Умение пользоваться сервисами-<highlighttext>аналитики</highlighttext>. Сообразительность, внимательность.', 'responsibility': '<highlighttext>Аналитика</highlighttext> продаж, сведение доходной и расходной части. Взаимодействие с нашим контакт-центром для повышения нашей конкурентоспособности с точки зрения коммуникации...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69652281,False,Категорийный менеджер по маркетплейсам,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 40000, 'to': 50000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T14:51:49+0300,2022-10-03T14:51:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69652281,,https://api.hh.ru/vacancies/69652281?host=hh.ru,https://api.hh.ru/vacancies/69652281/adv_response?host=hh.ru,https://hh.ru/vacancy/69652281,[],"{'id': '1248299', 'name': 'Хоум Тренд Солюшинс', 'url': 'https://api.hh.ru/employers/1248299', 'alternate_url': 'https://hh.ru/employer/1248299', 'logo_urls': {}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1248299', 'trusted': True}",Категорийный менеджер по маркетплейсам,https://api.hh.ru/vacancies/69652281?host=hh.ru,https://hh.ru/vacancy/69652281,,,,,,"{'requirement': '...Ozon ) от 6 месяцев. Аналитический склад ума. Уверенный пользователь ПК (Excel, Word, гугл таблицы). Умение пользоваться сервисами-<highlighttext>аналитики</highlighttext>. Сообразительность, внимательность.', 'responsibility': '<highlighttext>Аналитика</highlighttext> продаж, сведение доходной и расходной части. Взаимодействие с нашим контакт-центром для повышения нашей конкурентоспособности с точки зрения коммуникации...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69474105,False,Категорийный менеджер по работе с маркетплейсами,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 40000, 'to': 50000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T14:51:49+0300,2022-10-03T14:51:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69474105,,https://api.hh.ru/vacancies/69474105?host=hh.ru,https://api.hh.ru/vacancies/69474105/adv_response?host=hh.ru,https://hh.ru/vacancy/69474105,[],"{'id': '1248299', 'name': 'Хоум Тренд Солюшинс', 'url': 'https://api.hh.ru/employers/1248299', 'alternate_url': 'https://hh.ru/employer/1248299', 'logo_urls': {}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1248299', 'trusted': True}",Категорийный менеджер по работе с маркетплейсами,https://api.hh.ru/vacancies/69474105?host=hh.ru,https://hh.ru/vacancy/69474105,,,,,,"{'requirement': '...Ozon ) от 6 месяцев. Аналитический склад ума. Уверенный пользователь ПК (Excel, Word, гугл таблицы). Умение пользоваться сервисами-<highlighttext>аналитики</highlighttext>. Сообразительность, внимательность.', 'responsibility': '<highlighttext>Аналитика</highlighttext> продаж, сведение доходной и расходной части. Взаимодействие с нашим контакт-центром для повышения нашей конкурентоспособности с точки зрения коммуникации...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
