id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,name,url,alternate_url,logo_urls,90,240,vacancies_url,trusted,snippet,responsibility,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
70588829,False,Аналитик на проект BIG SHOWROOM,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T16:36:00+0300,2022-10-03T16:36:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70588829,,https://api.hh.ru/vacancies/70588829?host=hh.ru,https://api.hh.ru/vacancies/70588829/adv_response?host=hh.ru,https://hh.ru/vacancy/70588829,[],"{'id': '1037920', 'name': 'Холдинговая Компания Тандем', 'url': 'https://api.hh.ru/employers/1037920', 'alternate_url': 'https://hh.ru/employer/1037920', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/912299.png', '240': 'https://hhcdn.ru/employer-logo/4089880.png', '90': 'https://hhcdn.ru/employer-logo/4089879.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1037920', 'trusted': True}",Аналитик на проект BIG SHOWROOM,https://api.hh.ru/vacancies/70588829?host=hh.ru,https://hh.ru/vacancy/70588829,,,,,,"{'requirement': 'Высшее образование. Аналитический склад ума. Желателен опыт проведения геомаркетинговых исследований, сбора статистических данных. В приоритете сотрудники, отвечающие за сбор статистики...', 'responsibility': 'Сбор статистических данных по социально-экономических показателям регионов РФ. Мониторинг рынка строительных и отделочных материалов, мебели, товаров для интерьера и...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70398089,False,Бизнес-аналитик BI,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T16:36:14+0300,2022-09-30T16:36:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70398089,,https://api.hh.ru/vacancies/70398089?host=hh.ru,https://api.hh.ru/vacancies/70398089/adv_response?host=hh.ru,https://hh.ru/vacancy/70398089,[],"{'id': '131539', 'name': 'ФТО', 'url': 'https://api.hh.ru/employers/131539', 'alternate_url': 'https://hh.ru/employer/131539', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2754208.png', '90': 'https://hhcdn.ru/employer-logo/2754207.png', 'original': 'https://hhcdn.ru/employer-logo-original/578234.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=131539', 'trusted': True}",Бизнес-аналитик BI,https://api.hh.ru/vacancies/70398089?host=hh.ru,https://hh.ru/vacancy/70398089,,,,,,"{'requirement': 'Опыт работы с 1С как источником данных или в роли <highlighttext>аналитика</highlighttext>. Знание одной или нескольких нотаций моделирования. Разговорный английский.', 'responsibility': 'Участвовать в проектах внедрения и доработки BI-систем (Qlik, Microsoft, другие) в качестве <highlighttext>аналитика</highlighttext>. Проводить интервью с бизнес-заказчиками для...'}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
66543526,False,Ведущий продуктовый аналитик (crm),,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': 90000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Ярославль', 'street': 'улица Свободы', 'building': '97', 'description': None, 'lat': 57.626361, 'lng': 39.841837, 'raw': 'Ярославль, улица Свободы, 97', 'metro': None, 'metro_stations': [], 'id': '7298798'}",,,2022-09-30T15:14:15+0300,2022-09-30T15:14:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66543526,,https://api.hh.ru/vacancies/66543526?host=hh.ru,https://api.hh.ru/vacancies/66543526/adv_response?host=hh.ru,https://hh.ru/vacancy/66543526,[],"{'id': '67611', 'name': 'Тензор', 'url': 'https://api.hh.ru/employers/67611', 'alternate_url': 'https://hh.ru/employer/67611', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2558697.png', '240': 'https://hhcdn.ru/employer-logo/2558698.png', 'original': 'https://hhcdn.ru/employer-logo-original/529305.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=67611', 'trusted': True}",Ведущий продуктовый аналитик (crm),https://api.hh.ru/vacancies/66543526?host=hh.ru,https://hh.ru/vacancy/66543526,,,,,,"{'requirement': 'Имеете высшее образование (физика, математика, ИВТ, менеджмент). У вас есть опыт работы с CRM-решениями. Грамотно излагаете свои мысли устно...', 'responsibility': 'Анализировать конкурентов и потребности клиентов, систематизировать и эскалировать задачи по доработке функционала сервиса CRM. Оценивать соответствие итогов разработки клиентским потребностям. '}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
68588811,False,Аналитик,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'description': None, 'lat': None, 'lng': None, 'raw': 'Россия, г. Кострома, улица Северной Правды, 41/21', 'metro': None, 'metro_stations': [], 'id': '153919'}",,,2022-10-03T08:08:44+0300,2022-10-03T08:08:44+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68588811,,https://api.hh.ru/vacancies/68588811?host=hh.ru,https://api.hh.ru/vacancies/68588811/adv_response?host=hh.ru,https://hh.ru/vacancy/68588811,[],"{'id': '51098', 'name': 'Orby', 'url': 'https://api.hh.ru/employers/51098', 'alternate_url': 'https://hh.ru/employer/51098', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/237777.png', '90': 'https://hhcdn.ru/employer-logo/1393785.png', '240': 'https://hhcdn.ru/employer-logo/1393786.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=51098', 'trusted': True}",Аналитик,https://api.hh.ru/vacancies/68588811?host=hh.ru,https://hh.ru/vacancy/68588811,,,,,,"{'requirement': 'Опыт работы от 2-х лет на аналогичный должности. Технические знания работы сайта и 1С. Опыт работы написание ТЗ...', 'responsibility': 'Участие в межфункциональных командах в части анализа потребности и формулирования требований внутреннего заказчика по доработке информационных систем Компании. '}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
53211965,False,"Аналитик данных в аккредитованную ИТ-компанию (sql, excel)",,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Ярославль', 'street': 'улица Чайковского', 'building': '40А', 'description': None, 'lat': 57.626357, 'lng': 39.873664, 'raw': 'Ярославль, улица Чайковского, 40А', 'metro': None, 'metro_stations': [], 'id': '6571603'}",,,2022-09-29T12:39:16+0300,2022-09-29T12:39:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=53211965,,https://api.hh.ru/vacancies/53211965?host=hh.ru,https://api.hh.ru/vacancies/53211965/adv_response?host=hh.ru,https://hh.ru/vacancy/53211965,[],"{'id': '1613743', 'name': 'КЭШОФФ', 'url': 'https://api.hh.ru/employers/1613743', 'alternate_url': 'https://hh.ru/employer/1613743', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1013473.png', '90': 'https://hhcdn.ru/employer-logo/5674660.png', '240': 'https://hhcdn.ru/employer-logo/5674661.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1613743', 'trusted': True}","Аналитик данных в аккредитованную ИТ-компанию (sql, excel)",https://api.hh.ru/vacancies/53211965?host=hh.ru,https://hh.ru/vacancy/53211965,,,,,,"{'requirement': 'Любишь разбираться в данных, искать закономерности и проводить исследования. ЕСЛИ, ВПР, ГПР, СРЗНАЧ от этого набора букв ты расплываешься в...', 'responsibility': 'Ловко собирать, обрабатывать, анализировать данные. Автоматизировать и создавать регулярные отчёты средствами Excel, SQL. Настраивать дашборды в Metabase. Готовить регулярную отчётность. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70710265,False,Операционный аналитик Яндекс.Доставка,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': 37000, 'to': 45000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-10-03T21:40:12+0300,2022-10-03T21:40:12+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70710265,,https://api.hh.ru/vacancies/70710265?host=hh.ru,https://api.hh.ru/vacancies/70710265/adv_response?host=hh.ru,https://hh.ru/vacancy/70710265,[],"{'id': '1740', 'name': 'Яндекс', 'url': 'https://api.hh.ru/employers/1740', 'alternate_url': 'https://hh.ru/employer/1740', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3790847.png', '240': 'https://hhcdn.ru/employer-logo/3790848.png', 'original': 'https://hhcdn.ru/employer-logo-original/837491.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1740', 'trusted': True}",Операционный аналитик Яндекс.Доставка,https://api.hh.ru/vacancies/70710265?host=hh.ru,https://hh.ru/vacancy/70710265,,,,,,"{'requirement': 'Развитые навыки <highlighttext>аналитики</highlighttext>. Коммуникабельность. Умение анализировать. Опыт технической грамотности. Знание Excel.', 'responsibility': 'Анализ операций курьерской доставки. Анализ внутренних потребностей отдела и существующих инструментов. Выявление данных, что происходило с заказом. Анализ % доставляемости.'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70500652,False,Технолог (бизнес-аналитик),,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': 110000, 'to': 130000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Ярославль', 'street': 'проспект Октября', 'building': '16/21', 'description': None, 'lat': 57.633035, 'lng': 39.882126, 'raw': 'Ярославль, проспект Октября, 16/21', 'metro': None, 'metro_stations': [], 'id': '7003415'}",,,2022-09-29T08:56:41+0300,2022-09-29T08:56:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70500652,,https://api.hh.ru/vacancies/70500652?host=hh.ru,https://api.hh.ru/vacancies/70500652/adv_response?host=hh.ru,https://hh.ru/vacancy/70500652,[],"{'id': '65922', 'name': 'ТрансКонтейнер', 'url': 'https://api.hh.ru/employers/65922', 'alternate_url': 'https://hh.ru/employer/65922', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/823006.jpg', '240': 'https://hhcdn.ru/employer-logo/3732912.jpeg', '90': 'https://hhcdn.ru/employer-logo/3732911.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=65922', 'trusted': True}",Технолог (бизнес-аналитик),https://api.hh.ru/vacancies/70500652?host=hh.ru,https://hh.ru/vacancy/70500652,,,,,,"{'requirement': 'Высшее образование (техническое). Опыт работы в ИТ от 2 лет <highlighttext>аналитиком</highlighttext> / проектировщиком / менеджером проектов. Опыт работы с территориально распределёнными командами...', 'responsibility': 'Развитие и сопровождение онлайн-сервиса по заказу перевозок грузов. Сбор и анализ предложений внутренних и внешних пользователей по автоматизации процессов. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70479468,False,Системный аналитик,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-28T17:05:19+0300,2022-09-28T17:05:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70479468,,https://api.hh.ru/vacancies/70479468?host=hh.ru,https://api.hh.ru/vacancies/70479468/adv_response?host=hh.ru,https://hh.ru/vacancy/70479468,[],"{'id': '2863992', 'name': 'Мой Дом', 'url': 'https://api.hh.ru/employers/2863992', 'alternate_url': 'https://hh.ru/employer/2863992', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3790459.png', '240': 'https://hhcdn.ru/employer-logo/3790460.png', 'original': 'https://hhcdn.ru/employer-logo-original/837394.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2863992', 'trusted': True}",Системный аналитик,https://api.hh.ru/vacancies/70479468?host=hh.ru,https://hh.ru/vacancy/70479468,,,,,,"{'requirement': 'Хорошие общие знания в сфере информационных технологий (желательно высшее образование в области ИТ). Понимание процессов разработки ПО и общих принципов...', 'responsibility': 'Автоматизация задач в области расчетов начислений за ЖКУ. Разработка системы для управления домами (контроль доступа, автоматизация сбора показаний). '}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
70153491,False,Ведущий аналитик по ценообразованию/маркетолог,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': 70000, 'to': 110000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Ярославль', 'street': 'Угличская улица', 'building': '36', 'description': None, 'lat': 57.631122, 'lng': 39.840804, 'raw': 'Ярославль, Угличская улица, 36', 'metro': None, 'metro_stations': [], 'id': '465238'}",,,2022-09-22T12:48:17+0300,2022-09-22T12:48:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70153491,,https://api.hh.ru/vacancies/70153491?host=hh.ru,https://api.hh.ru/vacancies/70153491/adv_response?host=hh.ru,https://hh.ru/vacancy/70153491,[],"{'id': '67611', 'name': 'Тензор', 'url': 'https://api.hh.ru/employers/67611', 'alternate_url': 'https://hh.ru/employer/67611', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/2558697.png', '240': 'https://hhcdn.ru/employer-logo/2558698.png', 'original': 'https://hhcdn.ru/employer-logo-original/529305.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=67611', 'trusted': True}",Ведущий аналитик по ценообразованию/маркетолог,https://api.hh.ru/vacancies/70153491?host=hh.ru,https://hh.ru/vacancy/70153491,,,,,,"{'requirement': 'Законченное высшее образование. Умение говорить просто о сложном (как устно так и письменно). Готовность ""влезать"" в технику и логику работы...', 'responsibility': 'Обеспечить конкурентоспособность цен. Сделать так чтобы тарифы были прозрачны как клиентам, так и менеджерам. При выводе на рынок новых сервисов...'}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
70477581,False,UX-аналитик,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-28T16:19:35+0300,2022-09-28T16:19:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70477581,,https://api.hh.ru/vacancies/70477581?host=hh.ru,https://api.hh.ru/vacancies/70477581/adv_response?host=hh.ru,https://hh.ru/vacancy/70477581,[],"{'id': '13983', 'name': 'Компания Металл Профиль, OOO', 'url': 'https://api.hh.ru/employers/13983', 'alternate_url': 'https://hh.ru/employer/13983', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/779475.png', '240': 'https://hhcdn.ru/employer-logo/3558792.png', '90': 'https://hhcdn.ru/employer-logo/3558791.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=13983', 'trusted': True}",UX-аналитик,https://api.hh.ru/vacancies/70477581?host=hh.ru,https://hh.ru/vacancy/70477581,,,,,,"{'requirement': 'Используешь эвристическую оценку, экспертизу компонентов и контента. Опыт работы с веб-<highlighttext>аналитикой</highlighttext> от 2-х лет, желательно в крупном/среднем...', 'responsibility': 'Организация и проведение исследований с внешними и внутренними клиентам. Проектирование моделей и составления сценариев исследования. Анализ конкурентов - сравнение функционала, анализ...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
