id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,name,url,alternate_url,logo_urls,90,240,vacancies_url,trusted,snippet,responsibility,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
70270890,False,Специалист отдела аналитики,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}","{'from': 30000, 'to': 37000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T12:49:35+0300,2022-09-30T12:49:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70270890,,https://api.hh.ru/vacancies/70270890?host=hh.ru,https://api.hh.ru/vacancies/70270890/adv_response?host=hh.ru,https://hh.ru/vacancy/70270890,[],"{'id': '9195459', 'name': 'Скоромкина Елена Геннадьевна', 'url': 'https://api.hh.ru/employers/9195459', 'alternate_url': 'https://hh.ru/employer/9195459', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9195459', 'trusted': True}",Специалист отдела аналитики,https://api.hh.ru/vacancies/70270890?host=hh.ru,https://hh.ru/vacancy/70270890,,,,,,"{'requirement': 'Внимательность. - Ответственность. - Наличие смартфона с работающей фотокамерой.', 'responsibility': 'пoceщeние торговых объектов или формирование онлайн заказов, для oценки кaчeства сервиса. - Oценкa качecтвa обслуживания. - Онлайн отчёт о произведённой работе (по...'}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],"[{'id': 'from_four_to_six_hours_in_a_day', 'name': 'Можно работать сменами по\xa04–6 часов в\xa0день'}]","[{'id': 'start_after_sixteen', 'name': 'Можно начинать работать после 16:00'}]",True
49231330,False,Маркетолог-аналитик,"{'id': 'mts-3776-main', 'name': '«МТС» '}",False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T16:58:38+0300,2022-09-30T16:58:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=49231330,,https://api.hh.ru/vacancies/49231330?host=hh.ru,https://api.hh.ru/vacancies/49231330/adv_response?host=hh.ru,https://hh.ru/vacancy/49231330,[],"{'id': '3776', 'name': 'МТС', 'url': 'https://api.hh.ru/employers/3776', 'alternate_url': 'https://hh.ru/employer/3776', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3096661.jpeg', '90': 'https://hhcdn.ru/employer-logo/3096660.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/663882.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3776', 'trusted': True}",Маркетолог-аналитик,https://api.hh.ru/vacancies/49231330?host=hh.ru,https://hh.ru/vacancy/49231330,,,,,,"{'requirement': 'Специалиста с высшим образованием по специальности «маркетинг» или «экономика». Знанием и опытом применения инструментов анализа рынка. Опыт расчета инвестиционных проектов. ', 'responsibility': 'Проводить анализ финансовых и маркетинговых показателей региона, динамику, причины отклонений или потенциальные проблемы. Анализировать маркетинговую активность конкурентов. Инициировать развитие сети...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70500213,False,Аналитик отдела продаж,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}","{'from': None, 'to': 47000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-29T08:45:38+0300,2022-09-29T08:45:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70500213,,https://api.hh.ru/vacancies/70500213?host=hh.ru,https://api.hh.ru/vacancies/70500213/adv_response?host=hh.ru,https://hh.ru/vacancy/70500213,[],"{'id': '215960', 'name': 'Владимирский хлебокомбинат', 'url': 'https://api.hh.ru/employers/215960', 'alternate_url': 'https://hh.ru/employer/215960', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/691709.jpg', '240': 'https://hhcdn.ru/employer-logo/3207969.jpeg', '90': 'https://hhcdn.ru/employer-logo/3207968.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=215960', 'trusted': True}",Аналитик отдела продаж,https://api.hh.ru/vacancies/70500213?host=hh.ru,https://hh.ru/vacancy/70500213,,,,,,"{'requirement': 'Продвинутые навыки работы в программе Excel, сводные таблицы, надстройки PowerPivot, PowerQuery. Знание основ 1С для выгрузки необходимых отчетов. ', 'responsibility': 'Подготовка отчетов по продажам за различные периоды времени. <highlighttext>Аналитика</highlighttext> отчетности с выводами и предложениями по улучшению ситуации. Прогнозирование продаж в...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69070323,False,Ведущий специалист-аналитик,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}","{'from': 60000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Владимир', 'street': 'улица 16 лет Октября', 'building': '1', 'description': None, 'lat': 56.154189, 'lng': 40.425445, 'raw': 'Владимир, улица 16 лет Октября, 1', 'metro': None, 'metro_stations': [], 'id': '462131'}",,,2022-09-27T16:33:11+0300,2022-09-27T16:33:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69070323,,https://api.hh.ru/vacancies/69070323?host=hh.ru,https://api.hh.ru/vacancies/69070323/adv_response?host=hh.ru,https://hh.ru/vacancy/69070323,[],"{'id': '1729613', 'name': 'ГК VALFEX', 'url': 'https://api.hh.ru/employers/1729613', 'alternate_url': 'https://hh.ru/employer/1729613', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3899527.png', '240': 'https://hhcdn.ru/employer-logo/3899528.png', 'original': 'https://hhcdn.ru/employer-logo-original/864663.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1729613', 'trusted': True}",Ведущий специалист-аналитик,https://api.hh.ru/vacancies/69070323?host=hh.ru,https://hh.ru/vacancy/69070323,,,,,,"{'requirement': 'Опыт работы в данной сфере от 1-го года. Высшее образование. Опыт проведения ABC-анализа, формирования отчетов по продажам, прайс...', 'responsibility': 'Анализ деятельности конкурентов (события, ассортиментная матрица, цены и т.д.). Анализ потребности клиентов и границ ценообразования. ABC-анализ. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70373980,False,Специалист по планированию спроса,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-26T19:00:28+0300,2022-09-26T19:00:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70373980,,https://api.hh.ru/vacancies/70373980?host=hh.ru,https://api.hh.ru/vacancies/70373980/adv_response?host=hh.ru,https://hh.ru/vacancy/70373980,[],"{'id': '208707', 'name': 'ВсеИнструменты.ру', 'url': 'https://api.hh.ru/employers/208707', 'alternate_url': 'https://hh.ru/employer/208707', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/381738.png', '90': 'https://hhcdn.ru/employer-logo/1969210.png', '240': 'https://hhcdn.ru/employer-logo/1969211.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=208707', 'trusted': True}",Специалист по планированию спроса,https://api.hh.ru/vacancies/70373980?host=hh.ru,https://hh.ru/vacancy/70373980,,,,,,"{'requirement': '1. Ответственного сотрудника. 3. Кандидата с аналитическими способностями и хороших знанием Excel (работа с большим массивом данных, сводные таблицы, АВС...', 'responsibility': '1. Контролировать сроки и качество обновления товарных матриц. 2. Формировать ассортимент на основе АВС анализа. 3. Контролировать оборачиваемость товарных остатков...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70394460,False,Аналитик (департамент маркетинга),,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-27T09:32:58+0300,2022-09-27T09:32:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70394460,,https://api.hh.ru/vacancies/70394460?host=hh.ru,https://api.hh.ru/vacancies/70394460/adv_response?host=hh.ru,https://hh.ru/vacancy/70394460,[],"{'id': '56319', 'name': 'Abi', 'url': 'https://api.hh.ru/employers/56319', 'alternate_url': 'https://hh.ru/employer/56319', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/769032.png', '90': 'https://hhcdn.ru/employer-logo/3517085.png', '240': 'https://hhcdn.ru/employer-logo/3517086.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=56319', 'trusted': True}",Аналитик (департамент маркетинга),https://api.hh.ru/vacancies/70394460?host=hh.ru,https://hh.ru/vacancy/70394460,,,,,,"{'requirement': 'Образование высшее или среднее профессиональное по направлению Информационные технологии. Умение работать с большими объёмами информации и способность делать выводы. ', 'responsibility': 'Анализ исходных наименований сетей и определение категоризаций продукта. Выполнение проверочных работ наименований продуктов между собой, соотнесение данных с внутренними источниками...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70467759,False,Финансовый аналитик,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Владимир', 'street': 'Промышленный проезд', 'building': '1', 'description': None, 'lat': 56.14727, 'lng': 40.391956, 'raw': 'Владимир, Промышленный проезд, 1', 'metro': None, 'metro_stations': [], 'id': '7714248'}",,,2022-09-28T13:40:17+0300,2022-09-28T13:40:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70467759,,https://api.hh.ru/vacancies/70467759?host=hh.ru,https://api.hh.ru/vacancies/70467759/adv_response?host=hh.ru,https://hh.ru/vacancy/70467759,[],"{'id': '56319', 'name': 'Abi', 'url': 'https://api.hh.ru/employers/56319', 'alternate_url': 'https://hh.ru/employer/56319', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/769032.png', '90': 'https://hhcdn.ru/employer-logo/3517085.png', '240': 'https://hhcdn.ru/employer-logo/3517086.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=56319', 'trusted': True}",Финансовый аналитик,https://api.hh.ru/vacancies/70467759?host=hh.ru,https://hh.ru/vacancy/70467759,,,,,,"{'requirement': 'Высшее экономическое образование. Желательно знание методики бюджетного процесса, управленческого учета, знание основ финансового и экономического анализа, умение проводить оценку и...', 'responsibility': 'Осуществление расчета экономической эффективности контрактов или иных экономических расчетов в зоне ответственности. Подготовка отчетов по выполнению плановых, целевых показателей по...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70394441,False,Аналитик службы аудита продаж,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-27T09:32:28+0300,2022-09-27T09:32:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70394441,,https://api.hh.ru/vacancies/70394441?host=hh.ru,https://api.hh.ru/vacancies/70394441/adv_response?host=hh.ru,https://hh.ru/vacancy/70394441,[],"{'id': '56319', 'name': 'Abi', 'url': 'https://api.hh.ru/employers/56319', 'alternate_url': 'https://hh.ru/employer/56319', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/769032.png', '90': 'https://hhcdn.ru/employer-logo/3517085.png', '240': 'https://hhcdn.ru/employer-logo/3517086.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=56319', 'trusted': True}",Аналитик службы аудита продаж,https://api.hh.ru/vacancies/70394441?host=hh.ru,https://hh.ru/vacancy/70394441,,,,,,"{'requirement': 'Образование высшее экономическое, либо техническое. Навыки владения ПК: Excel, MS Power Pivot, MS Access. Знание основ мерчендайзинга.', 'responsibility': 'Сбор и систематизация данных. Построение аналитических графиков и отчетов. Проведение план-факт анализа по службе мерчендайзинга. Подготовка презентаций. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70394009,False,Системный аналитик / Бизнес-аналитик,,False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Владимир', 'street': 'микрорайон Юрьевец', 'building': None, 'description': None, 'lat': 56.100922, 'lng': 40.272364, 'raw': 'Владимир, микрорайон Юрьевец', 'metro': None, 'metro_stations': [], 'id': '397830'}",,,2022-09-27T09:23:24+0300,2022-09-27T09:23:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70394009,,https://api.hh.ru/vacancies/70394009?host=hh.ru,https://api.hh.ru/vacancies/70394009/adv_response?host=hh.ru,https://hh.ru/vacancy/70394009,[],"{'id': '1070520', 'name': 'ФГБУ Федеральный центр охраны здоровья животных', 'url': 'https://api.hh.ru/employers/1070520', 'alternate_url': 'https://hh.ru/employer/1070520', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/737666.png', 'original': 'https://hhcdn.ru/employer-logo-original/83374.png', '240': 'https://hhcdn.ru/employer-logo/737667.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1070520', 'trusted': True}",Системный аналитик / Бизнес-аналитик,https://api.hh.ru/vacancies/70394009?host=hh.ru,https://hh.ru/vacancy/70394009,,,,,,"{'requirement': 'Приветствуется и будет большим плюсом опыт работы в качестве системного <highlighttext>аналитика</highlighttext> в разработке программного обеспечения, web-сервисов. Приветствуется и будет...', 'responsibility': 'Сбор и анализ исходной информации, выявление требований к функциям программного обеспечения (бизнес, функциональных, нефункциональных, интеграционных). Описание бизнес-процессов. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69337244,False,Web-аналитик,"{'id': '544224-544224-office', 'name': 'Группа Компаний «Аскона» | Офис'}",False,False,"{'id': '23', 'name': 'Владимир', 'url': 'https://api.hh.ru/areas/23'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-26T13:00:09+0300,2022-09-26T13:00:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69337244,,https://api.hh.ru/vacancies/69337244?host=hh.ru,https://api.hh.ru/vacancies/69337244/adv_response?host=hh.ru,https://hh.ru/vacancy/69337244,[],"{'id': '544224', 'name': 'Группа Компаний Аскона', 'url': 'https://api.hh.ru/employers/544224', 'alternate_url': 'https://hh.ru/employer/544224', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/4108260.png', '90': 'https://hhcdn.ru/employer-logo/4108259.png', 'original': 'https://hhcdn.ru/employer-logo-original/916895.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=544224', 'trusted': True}",Web-аналитик,https://api.hh.ru/vacancies/69337244?host=hh.ru,https://hh.ru/vacancy/69337244,,,,,,"{'requirement': 'Понимание работы ecommerce бизнеса. Знание систем <highlighttext>аналитики</highlighttext>: Google Analytics (UA и GA4), Яндекс.Метрика, GTM. Настройка <highlighttext>аналитики</highlighttext> в Google Analytics...', 'responsibility': 'Контроль показателей на аномалии и ошибок с помощью систем <highlighttext>аналитики</highlighttext>. Исследования поведения пользователей на сайте. Проведение АБ тестов. Настройка <highlighttext>аналитики</highlighttext>...'}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
