id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,name,url,alternate_url,logo_urls,90,240,vacancies_url,trusted,snippet,responsibility,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
69999734,False,Товарный аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 71000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'Электрозаводской проезд', 'building': '1А', 'description': None, 'lat': 55.061029, 'lng': 82.968454, 'raw': 'Новосибирск, Электрозаводской проезд, 1А', 'metro': None, 'metro_stations': [], 'id': '6048917'}",,,2022-10-02T05:54:09+0300,2022-10-02T05:54:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69999734,,https://api.hh.ru/vacancies/69999734?host=hh.ru,https://api.hh.ru/vacancies/69999734/adv_response?host=hh.ru,https://hh.ru/vacancy/69999734,[],"{'id': '29706', 'name': 'Партнёрская сеть магазинов Бренда Монро', 'url': 'https://api.hh.ru/employers/29706', 'alternate_url': 'https://hh.ru/employer/29706', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/824159.jpg', '90': 'https://hhcdn.ru/employer-logo/3737523.jpeg', '240': 'https://hhcdn.ru/employer-logo/3737524.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=29706', 'trusted': True}",Товарный аналитик,https://api.hh.ru/vacancies/69999734?host=hh.ru,https://hh.ru/vacancy/69999734,,,,,,"{'requirement': 'Умение работать с большим объемом информации. Аналитический склад ума. Отличное знание Excel. Внимательность, дисциплинированность.', 'responsibility': 'Формирование аналитических отчетов по основным показателям отдела продаж. Формирование ассортиментной матрицы. Планирование бюджета закупок по товарной категории. Анализ оборачиваемости товара...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70544927,False,Бизнес-аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 60000, 'to': 100000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-29T19:46:47+0300,2022-09-29T19:46:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70544927,,https://api.hh.ru/vacancies/70544927?host=hh.ru,https://api.hh.ru/vacancies/70544927/adv_response?host=hh.ru,https://hh.ru/vacancy/70544927,[],"{'id': '4602050', 'name': 'Апэрбот', 'url': 'https://api.hh.ru/employers/4602050', 'alternate_url': 'https://hh.ru/employer/4602050', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3376217.png', '90': 'https://hhcdn.ru/employer-logo/3376216.png', 'original': 'https://hhcdn.ru/employer-logo-original/733785.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4602050', 'trusted': False}",Бизнес-аналитик,https://api.hh.ru/vacancies/70544927?host=hh.ru,https://hh.ru/vacancy/70544927,,,,,,"{'requirement': 'Нужно уметь анализировать и структурировать большой объем разнообразной информации. Хорошо писать, коротко, структурированно, ясно, но с необходимыми подробностями. ', 'responsibility': 'Уметь находить информацию из разных источников, в т.ч. интернет и интервью клиентов, наших программистов. Составлять технические задания программистам и...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69930698,False,Экономист-аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 50000, 'to': 80000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'улица Орджоникидзе', 'building': '47', 'description': None, 'lat': 55.032624, 'lng': 82.93571, 'raw': 'Новосибирск, улица Орджоникидзе, 47', 'metro': None, 'metro_stations': [], 'id': '7376057'}",,,2022-09-30T17:40:45+0300,2022-09-30T17:40:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69930698,,https://api.hh.ru/vacancies/69930698?host=hh.ru,https://api.hh.ru/vacancies/69930698/adv_response?host=hh.ru,https://hh.ru/vacancy/69930698,[],"{'id': '6001374', 'name': 'НСК-МЕХАНИЗАЦИЯ', 'url': 'https://api.hh.ru/employers/6001374', 'alternate_url': 'https://hh.ru/employer/6001374', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6001374', 'trusted': True}",Экономист-аналитик,https://api.hh.ru/vacancies/69930698?host=hh.ru,https://hh.ru/vacancy/69930698,,,,,,"{'requirement': 'Высшее образование (по специальности ""Экономика"" будет Вашим преимуществом; смежные специализации рассматриваемы). - знание ПК и ""рабочего"" софта (1С, MS Office...', 'responsibility': 'Комплексное ведение отчетности в группе компаний. - Контроль движения денежных средств. - Анализ доходов и расходов. - Оценка и прогнозирование рентабельности стоимости услуг...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70558310,False,Аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'Кировский район', 'building': None, 'description': None, 'lat': 54.956777, 'lng': 82.921139, 'raw': 'Новосибирск, Кировский район', 'metro': None, 'metro_stations': [], 'id': '2496645'}",,,2022-09-30T06:56:27+0300,2022-09-30T06:56:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70558310,,https://api.hh.ru/vacancies/70558310?host=hh.ru,https://api.hh.ru/vacancies/70558310/adv_response?host=hh.ru,https://hh.ru/vacancy/70558310,[],"{'id': '50771', 'name': 'People group, центр подбора и развития персонала', 'url': 'https://api.hh.ru/employers/50771', 'alternate_url': 'https://hh.ru/employer/50771', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/221044.jpg', '240': 'https://hhcdn.ru/employer-logo/676356.jpeg', '90': 'https://hhcdn.ru/employer-logo/676355.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=50771', 'trusted': True}",Аналитик,https://api.hh.ru/vacancies/70558310?host=hh.ru,https://hh.ru/vacancy/70558310,,,,,,"{'requirement': 'Знание MS Office и Power Bi. Опыт работы в 1С 8 будет являться преимуществом. Опыт работы с большим объемом...', 'responsibility': 'Сбор, первичная обработка, изучение, анализ данных. Визуализация полученных результатов, создание схем, диаграмм, графиков, презентаций, используя функционал пакета MS Office и...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70347228,False,Финансовый аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 70000, 'to': 80000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'description': None, 'lat': None, 'lng': None, 'raw': None, 'metro': {'station_name': 'Площадь Ленина', 'line_name': 'Ленинская', 'station_id': '52.297', 'line_id': '52', 'lat': 55.029941, 'lng': 82.92069}, 'metro_stations': [{'station_name': 'Площадь Ленина', 'line_name': 'Ленинская', 'station_id': '52.297', 'line_id': '52', 'lat': 55.029941, 'lng': 82.92069}], 'id': '11175508'}",,,2022-10-02T12:36:11+0300,2022-10-02T12:36:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70347228,,https://api.hh.ru/vacancies/70347228?host=hh.ru,https://api.hh.ru/vacancies/70347228/adv_response?host=hh.ru,https://hh.ru/vacancy/70347228,[],"{'id': '3258278', 'name': 'БЮРО БИЗНЕС-РЕШЕНИЙ', 'url': 'https://api.hh.ru/employers/3258278', 'alternate_url': 'https://hh.ru/employer/3258278', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/499529.png', '90': 'https://hhcdn.ru/employer-logo/2439869.png', '240': 'https://hhcdn.ru/employer-logo/2439870.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3258278', 'trusted': True}",Финансовый аналитик,https://api.hh.ru/vacancies/70347228?host=hh.ru,https://hh.ru/vacancy/70347228,,,,,,"{'requirement': 'Знание РСБУ, опыт работы с бюджетированием и подготовки консолидации. Владение Excel на уровне продвинутого пользователя. Знание 1C ERP является...', 'responsibility': 'Подготовка отчетов с результатами месяца для руководителей подразделений, включая <highlighttext>аналитику</highlighttext> отклонений, обсуждение результатов. Участие в автоматизации процесса бюджетирования (разработка новых...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70585402,True,Риск-аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'Советский район, микрорайон Академгородок, улица Гнесиных', 'building': '10/1', 'description': None, 'lat': 54.87043, 'lng': 83.087786, 'raw': 'Новосибирск, Советский район, микрорайон Академгородок, улица Гнесиных, 10/1', 'metro': None, 'metro_stations': [], 'id': '11687642'}",,,2022-09-30T15:36:19+0300,2022-09-30T15:36:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70585402,,https://api.hh.ru/vacancies/70585402?host=hh.ru,https://api.hh.ru/vacancies/70585402/adv_response?host=hh.ru,https://hh.ru/vacancy/70585402,[],"{'id': '922044', 'name': 'МКК 4финанс', 'url': 'https://api.hh.ru/employers/922044', 'alternate_url': 'https://hh.ru/employer/922044', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/3273312.png', '240': 'https://hhcdn.ru/employer-logo/3273313.png', 'original': 'https://hhcdn.ru/employer-logo-original/708049.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=922044', 'trusted': True}",Риск-аналитик,https://api.hh.ru/vacancies/70585402?host=hh.ru,https://hh.ru/vacancy/70585402,,,,,,"{'requirement': 'Высшее образование. Опыт работы с банковскими продуктами. Опыт создания и визуализации отчетов. Опыт автоматизации процессов. Знание SQL. Умение работать в...', 'responsibility': 'Мониторинг ключевых показателей деятельности Компании. Аналитическая поддержка изменений: проведение пилотов, A/B-тестирование, расчет экономической целесообразности. Оптимизация текущих бизнес-процессов...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69464160,False,Экономист-аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 45000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'description': None, 'lat': None, 'lng': None, 'raw': 'Новосибирск, ул.Большевистская, 131а', 'metro': None, 'metro_stations': [], 'id': '272762'}",,,2022-09-30T09:42:39+0300,2022-09-30T09:42:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69464160,,https://api.hh.ru/vacancies/69464160?host=hh.ru,https://api.hh.ru/vacancies/69464160/adv_response?host=hh.ru,https://hh.ru/vacancy/69464160,[],"{'id': '900540', 'name': 'Сладомир Логистик Групп', 'url': 'https://api.hh.ru/employers/900540', 'alternate_url': 'https://hh.ru/employer/900540', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=900540', 'trusted': True}",Экономист-аналитик,https://api.hh.ru/vacancies/69464160?host=hh.ru,https://hh.ru/vacancy/69464160,,,,,,"{'requirement': 'Высшее законченное образование. Хорошие аналитические, математические способности. Ответственность, внимательность. Знание 1С. Опыт работы в транспортной логистике будет преимуществом.', 'responsibility': '<highlighttext>Аналитика</highlighttext> продаж, периодическая отчетность и по запросу. Анализ Дебиторской задолженности. Проверка корректности оплат, взаиморасчетов с контрагентами. Заполнение карточек контрагентов в...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70560010,False,Бизнес Аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Севастополь', 'street': 'улица Руднева', 'building': '41', 'description': None, 'lat': 44.590317, 'lng': 33.491493, 'raw': 'Севастополь, улица Руднева, 41', 'metro': None, 'metro_stations': [], 'id': '5740906'}",,,2022-09-30T07:48:28+0300,2022-09-30T07:48:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70560010,"{'id': '29998', 'url': 'https://hh.ru/interview/29998?employerId=2733062'}",https://api.hh.ru/vacancies/70560010?host=hh.ru,https://api.hh.ru/vacancies/70560010/adv_response?host=hh.ru,https://hh.ru/vacancy/70560010,[],"{'id': '2733062', 'name': 'Лига Цифровой Экономики', 'url': 'https://api.hh.ru/employers/2733062', 'alternate_url': 'https://hh.ru/employer/2733062', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/948220.png', '240': 'https://hhcdn.ru/employer-logo/4233417.png', '90': 'https://hhcdn.ru/employer-logo/4233416.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2733062', 'trusted': True}",Бизнес Аналитик,https://api.hh.ru/vacancies/70560010?host=hh.ru,https://hh.ru/vacancy/70560010,,,,,,"{'requirement': 'Высшее техническое образование. - Навыки моделирования бизнес-процессов. - Опыт обследований у заказчиков. - Понимание этапов разработки программного обеспечения. - Опыт написания ТЗ. - ', 'responsibility': 'Платформа осуществляет сбор, анализ и накопление данных для управления городом. Использование данных и <highlighttext>аналитика</highlighttext> позволяют создавать новые сервисы для повышения...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70501129,False,Аналитик директората продаж,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'улица Кирова', 'building': '23', 'description': None, 'lat': 55.019207, 'lng': 82.940085, 'raw': 'Новосибирск, улица Кирова, 23', 'metro': {'station_name': 'Октябрьская', 'line_name': 'Ленинская', 'station_id': '52.298', 'line_id': '52', 'lat': 55.018789, 'lng': 82.939007}, 'metro_stations': [{'station_name': 'Октябрьская', 'line_name': 'Ленинская', 'station_id': '52.298', 'line_id': '52', 'lat': 55.018789, 'lng': 82.939007}], 'id': '2582512'}",,,2022-09-29T09:07:52+0300,2022-09-29T09:07:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70501129,,https://api.hh.ru/vacancies/70501129?host=hh.ru,https://api.hh.ru/vacancies/70501129/adv_response?host=hh.ru,https://hh.ru/vacancy/70501129,[],"{'id': '766468', 'name': 'Группа компаний С7', 'url': 'https://api.hh.ru/employers/766468', 'alternate_url': 'https://hh.ru/employer/766468', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/374142.gif', '90': 'https://hhcdn.ru/employer-logo/1938826.png', '240': 'https://hhcdn.ru/employer-logo/1938827.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=766468', 'trusted': True}",Аналитик директората продаж,https://api.hh.ru/vacancies/70501129?host=hh.ru,https://hh.ru/vacancy/70501129,,,,,,"{'requirement': 'Опыт работы в области <highlighttext>аналитики</highlighttext>, умение работать с большими источниками данных. Высшее образование (экономический, математический профили - как преимущество). ', 'responsibility': 'Разработка управленческой отчетности в Tableau. Развитие источников данных по продажам (постановка ТЗ разработчикам для реализации функционала). Контроль качества данных в...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
68091663,False,Ведущий аналитик,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 70000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'Коммунистическая улица', 'building': '11', 'description': None, 'lat': 55.022943, 'lng': 82.913117, 'raw': 'Новосибирск, Коммунистическая улица, 11', 'metro': None, 'metro_stations': [], 'id': '7744631'}",,,2022-09-30T05:59:53+0300,2022-09-30T05:59:53+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68091663,,https://api.hh.ru/vacancies/68091663?host=hh.ru,https://api.hh.ru/vacancies/68091663/adv_response?host=hh.ru,https://hh.ru/vacancy/68091663,[],"{'id': '6063757', 'name': 'МКК Гиллион', 'url': 'https://api.hh.ru/employers/6063757', 'alternate_url': 'https://hh.ru/employer/6063757', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6063757', 'trusted': True}",Ведущий аналитик,https://api.hh.ru/vacancies/68091663?host=hh.ru,https://hh.ru/vacancy/68091663,,,,,,"{'requirement': 'Высшее образование. Опыт работы финансовым <highlighttext>аналитиком</highlighttext> от года. Опыт построения финансовых моделей и бюджетов компании. Опыт подготовки ТЗ на автоматизацию...', 'responsibility': 'Подготовка регулярной управленческой отчетности для руководства. Выстраивание и автоматизация системы отчетности, проверка корректности отчетов. Составление финансовой модели компании. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
