id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,name,url,alternate_url,logo_urls,90,240,vacancies_url,trusted,snippet,responsibility,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
68389548,False,Бизнес-аналитик,,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-29T17:51:56+0300,2022-09-29T17:51:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68389548,,https://api.hh.ru/vacancies/68389548?host=hh.ru,https://api.hh.ru/vacancies/68389548/adv_response?host=hh.ru,https://hh.ru/vacancy/68389548,[],"{'id': '33725', 'name': 'Sintec Group', 'url': 'https://api.hh.ru/employers/33725', 'alternate_url': 'https://hh.ru/employer/33725', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/952143.JPG', '240': 'https://hhcdn.ru/employer-logo/4249105.jpeg', '90': 'https://hhcdn.ru/employer-logo/4249104.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=33725', 'trusted': True}",Бизнес-аналитик,https://api.hh.ru/vacancies/68389548?host=hh.ru,https://hh.ru/vacancy/68389548,,,,,,"{'requirement': 'Понимание работы внутренних бизнес-процессов. Поддержка пользователей. Эффективное решение проблем. <highlighttext>Аналитика</highlighttext> обратной связи от клиентов. Умение видеть главное, чётко формулировать...', 'responsibility': 'Интервьюирование пользователей. Написание тех. задания для разработчиков. Разработка и поддержание в актуальном состоянии регламентов и инструкций. Тестирование бизнес-процессов.'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70093427,False,Финансовый аналитик,,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 170000, 'to': 190000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-21T12:10:00+0300,2022-09-21T12:10:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70093427,,https://api.hh.ru/vacancies/70093427?host=hh.ru,https://api.hh.ru/vacancies/70093427/adv_response?host=hh.ru,https://hh.ru/vacancy/70093427,[],"{'id': '3655622', 'name': 'Стратфорд Глобал', 'url': 'https://api.hh.ru/employers/3655622', 'alternate_url': 'https://hh.ru/employer/3655622', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/896631.png', '90': 'https://hhcdn.ru/employer-logo/4027211.png', '240': 'https://hhcdn.ru/employer-logo/4027212.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3655622', 'trusted': True}",Финансовый аналитик,https://api.hh.ru/vacancies/70093427?host=hh.ru,https://hh.ru/vacancy/70093427,,,,,,"{'requirement': 'Внедрение новых подходов к анализу финансового состояния организации (интерактивные аналитические панели, средства визуализации, графики) и владение программами с BI-<highlighttext>аналитикой</highlighttext>...', 'responsibility': 'Анализ управленческой отчетности (в т.ч. план-факт и факторный анализ), участие в подготовке иных отчетов для учредителей и финансовых...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70159884,False,Финансовый аналитик,,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-22T14:10:16+0300,2022-09-22T14:10:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70159884,,https://api.hh.ru/vacancies/70159884?host=hh.ru,https://api.hh.ru/vacancies/70159884/adv_response?host=hh.ru,https://hh.ru/vacancy/70159884,[],"{'id': '1485682', 'name': 'Хаят Холдинг', 'url': 'https://api.hh.ru/employers/1485682', 'alternate_url': 'https://hh.ru/employer/1485682', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3935200.jpeg', '90': 'https://hhcdn.ru/employer-logo/3935199.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/873581.JPG'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1485682', 'trusted': True}",Финансовый аналитик,https://api.hh.ru/vacancies/70159884?host=hh.ru,https://hh.ru/vacancy/70159884,,,,,,"{'requirement': 'Опыт работы не менее 3-х лет в бухгалтерском учете / <highlighttext>аналитике</highlighttext> / отчетности в производственных компаниях. Высшее образование в области бухгалтерского...', 'responsibility': 'Расчет стоимости новых проектов, бюджета и фактических показателей. Работа с ключевыми пользователями в SAP для модулей CO и Fi. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69474741,False,Химик-аналитик,,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 46000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Калужская область', 'street': 'М-3 Украина, 109-й километр', 'building': None, 'description': None, 'lat': 55.063978, 'lng': 36.622239, 'raw': 'Калужская область, М-3 Украина, 109-й километр', 'metro': None, 'metro_stations': [], 'id': '899489'}",,,2022-10-02T11:12:25+0300,2022-10-02T11:12:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69474741,,https://api.hh.ru/vacancies/69474741?host=hh.ru,https://api.hh.ru/vacancies/69474741/adv_response?host=hh.ru,https://hh.ru/vacancy/69474741,[],"{'id': '1490371', 'name': 'Бион', 'url': 'https://api.hh.ru/employers/1490371', 'alternate_url': 'https://hh.ru/employer/1490371', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1490371', 'trusted': True}",Химик-аналитик,https://api.hh.ru/vacancies/69474741?host=hh.ru,https://hh.ru/vacancy/69474741,,,,,,"{'requirement': 'Образование – высшее профессиональное: химическое, химико-фармацевтическое, специализация: химия. Опыт работы в качестве химика-<highlighttext>аналитика</highlighttext> или по аналогичной специальности на предприятии...', 'responsibility': 'Проводит испытания (анализы) проб исходного сырья, полупродуктов, готовой продукции по нормативной документации и соответствующим инструкциям, а также с учетом дополнительных...'}",,,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False
70586919,False,Заместитель коммерческого директора,,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 60000, 'to': 100000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Обнинск', 'street': 'улица Горького', 'building': '62', 'description': None, 'lat': 55.088068, 'lng': 36.605827, 'raw': 'Обнинск, улица Горького, 62', 'metro': None, 'metro_stations': [], 'id': '6856653'}",,,2022-09-30T15:56:00+0300,2022-09-30T15:56:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70586919,,https://api.hh.ru/vacancies/70586919?host=hh.ru,https://api.hh.ru/vacancies/70586919/adv_response?host=hh.ru,https://hh.ru/vacancy/70586919,[],"{'id': '3145633', 'name': 'РОСПРОДУКТ', 'url': 'https://api.hh.ru/employers/3145633', 'alternate_url': 'https://hh.ru/employer/3145633', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2397982.png', '90': 'https://hhcdn.ru/employer-logo/2397981.png', 'original': 'https://hhcdn.ru/employer-logo-original/489057.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3145633', 'trusted': True}",Заместитель коммерческого директора,https://api.hh.ru/vacancies/70586919?host=hh.ru,https://hh.ru/vacancy/70586919,,,,,,"{'requirement': 'Умение на высоком уровне вести деловые переговоры, переписку и проводить презентации. Умение и любовь к работе с клиентами. ', 'responsibility': 'Привлечение новых сетевых клиентов в сегменте HoReCa. Формировать планы продаж и задания для менеджеров по продаже, контроль их работы. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70120075,False,Торговый представитель (Обнинск),,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 85000, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Обнинск', 'street': None, 'building': None, 'description': None, 'lat': 55.11202, 'lng': 36.586459, 'raw': 'Обнинск', 'metro': None, 'metro_stations': [], 'id': '11800646'}",,,2022-09-30T18:36:16+0300,2022-09-30T18:36:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70120075,,https://api.hh.ru/vacancies/70120075?host=hh.ru,https://api.hh.ru/vacancies/70120075/adv_response?host=hh.ru,https://hh.ru/vacancy/70120075,[],"{'id': '5353099', 'name': 'Равэнна', 'url': 'https://api.hh.ru/employers/5353099', 'alternate_url': 'https://hh.ru/employer/5353099', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/838952.png', '90': 'https://hhcdn.ru/employer-logo/3796691.png', '240': 'https://hhcdn.ru/employer-logo/3796692.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5353099', 'trusted': True}",Торговый представитель (Обнинск),https://api.hh.ru/vacancies/70120075?host=hh.ru,https://hh.ru/vacancy/70120075,,,,,,"{'requirement': 'Опыт продаж ЛКМ, как большое преимущество( так же рассматриваются кандидаты с других направлений FMCG). Опыт работы в продажах не менее...', 'responsibility': 'Поддержание и расширение имеющейся клиентской базы. Активный поиск и привлечение новых клиентов. Расширение ассортимента продукции в торговых точках. '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
54686809,False,Региональный менеджер / Региональный представитель (Электротехника/Светотехника),,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 60000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T13:28:36+0300,2022-09-30T13:28:36+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=54686809,,https://api.hh.ru/vacancies/54686809?host=hh.ru,https://api.hh.ru/vacancies/54686809/adv_response?host=hh.ru,https://hh.ru/vacancy/54686809,[],"{'id': '193205', 'name': 'Торговый Дом Морозова', 'url': 'https://api.hh.ru/employers/193205', 'alternate_url': 'https://hh.ru/employer/193205', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/869879.jpeg', '240': 'https://hhcdn.ru/employer-logo/869880.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/193440.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=193205', 'trusted': True}",Региональный менеджер / Региональный представитель (Электротехника/Светотехника),https://api.hh.ru/vacancies/54686809?host=hh.ru,https://hh.ru/vacancy/54686809,,,,,,"{'requirement': 'Опыт работы в активных продажах. Опыт продаж электротехнической продукции будет преимуществом. Опыт работы ""в полях"". Активность, коммуникабельность. Наличие легкового а...', 'responsibility': 'Разработка стратегии и тактики продвижения продуктов на региональном рынке. <highlighttext>Аналитика</highlighttext> продаж и динамики развития. Управление дебиторской задолженностью. Проработка действующей клиентской...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
49171522,False,Продавец-кассир (г. Обнинск),,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 45000, 'to': 52000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-28T09:46:22+0300,2022-09-28T09:46:22+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=49171522,,https://api.hh.ru/vacancies/49171522?host=hh.ru,https://api.hh.ru/vacancies/49171522/adv_response?host=hh.ru,https://hh.ru/vacancy/49171522,[],"{'id': '1189320', 'name': 'Бристоль, сеть магазинов', 'url': 'https://api.hh.ru/employers/1189320', 'alternate_url': 'https://hh.ru/employer/1189320', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/1023326.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/60208.jpg', '240': 'https://hhcdn.ru/employer-logo/1023327.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1189320', 'trusted': True}",Продавец-кассир (г. Обнинск),https://api.hh.ru/vacancies/49171522?host=hh.ru,https://hh.ru/vacancy/49171522,,,,,,"{'requirement': 'Коммуникабельность, умение работать в команде, честность, желание работать с людьми. - Опыт работы в данной сфере не требуется, мы готовы Вас...', 'responsibility': 'Работа на кассе и обслуживание покупателей по принятым в Компании стандартам. - Выкладка товара и смена ценников. - Отслеживание сроков реализации продукции...'}",,,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False
69386293,False,"Администратор магазина (г. Обнинск, ул. Аксенова, д. 10А)",,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Обнинск', 'street': 'улица Аксёнова', 'building': '10А', 'description': None, 'lat': 55.116042, 'lng': 36.615529, 'raw': 'Обнинск, улица Аксёнова, 10А', 'metro': None, 'metro_stations': [], 'id': '11631651'}",,,2022-09-27T16:50:02+0300,2022-09-27T16:50:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69386293,,https://api.hh.ru/vacancies/69386293?host=hh.ru,https://api.hh.ru/vacancies/69386293/adv_response?host=hh.ru,https://hh.ru/vacancy/69386293,[],"{'id': '1189320', 'name': 'Бристоль, сеть магазинов', 'url': 'https://api.hh.ru/employers/1189320', 'alternate_url': 'https://hh.ru/employer/1189320', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/1023326.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/60208.jpg', '240': 'https://hhcdn.ru/employer-logo/1023327.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1189320', 'trusted': True}","Администратор магазина (г. Обнинск, ул. Аксенова, д. 10А)",https://api.hh.ru/vacancies/69386293?host=hh.ru,https://hh.ru/vacancy/69386293,,,,,,"{'requirement': 'Опыт работы на аналогичной должности в розничной торговле от года (администратор, управляющий торговым залом, старший продавец, заведующий отделом, ревизор). - ', 'responsibility': 'Оперативное управление персоналом. - Организация бесперебойной работы магазина в соответствии с политикой компании. - Обеспечение выполнения планов продаж. - Приёмка товара по накладным...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
55077818,False,Маркетолог-аналитик,,False,False,"{'id': '301', 'name': 'Обнинск', 'url': 'https://api.hh.ru/areas/301'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Обнинск', 'street': 'Киевское шоссе', 'building': '57', 'description': None, 'lat': 55.119028, 'lng': 36.636379, 'raw': 'Обнинск, Киевское шоссе, 57', 'metro': None, 'metro_stations': [], 'id': '470379'}",,,2022-09-26T08:10:05+0300,2022-09-26T08:10:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55077818,,https://api.hh.ru/vacancies/55077818?host=hh.ru,https://api.hh.ru/vacancies/55077818/adv_response?host=hh.ru,https://hh.ru/vacancy/55077818,[],"{'id': '3482916', 'name': 'ПК Реалит', 'url': 'https://api.hh.ru/employers/3482916', 'alternate_url': 'https://hh.ru/employer/3482916', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/911698.jpg', '240': 'https://hhcdn.ru/employer-logo/4087480.jpeg', '90': 'https://hhcdn.ru/employer-logo/4087479.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3482916', 'trusted': True}",Маркетолог-аналитик,https://api.hh.ru/vacancies/55077818?host=hh.ru,https://hh.ru/vacancy/55077818,,,,,,"{'requirement': 'Английский язык не ниже upper-intermediate. Опыт в аналогичной должности не менее 2-х лет.', 'responsibility': 'Анализ европейского рынка. Разработка маркетинговой стратегии и формирование маркетингового плана. Подготовка рекомендаций по ценовому позиционированию, обоснование ценообразования. Привлечение и удержание...'}",,,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False
