id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,employer,name,url,alternate_url,logo_urls,90,240,vacancies_url,trusted,snippet,responsibility,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
69612788,False,Специалист отдела аналитики и планирования (Аналитик),,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 30000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Псков', 'street': 'улица Советской Армии', 'building': '56', 'description': None, 'lat': 57.786836, 'lng': 28.354603, 'raw': 'Псков, улица Советской Армии, 56', 'metro': None, 'metro_stations': [], 'id': '861246'}",,,2022-09-08T11:38:09+0300,2022-09-08T11:38:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69612788,,https://api.hh.ru/vacancies/69612788?host=hh.ru,https://api.hh.ru/vacancies/69612788/adv_response?host=hh.ru,https://hh.ru/vacancy/69612788,[],"{'id': '2950842', 'name': 'ГК Мега Холод', 'url': 'https://api.hh.ru/employers/2950842', 'alternate_url': 'https://hh.ru/employer/2950842', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2950842', 'trusted': True}",Специалист отдела аналитики и планирования (Аналитик),https://api.hh.ru/vacancies/69612788?host=hh.ru,https://hh.ru/vacancy/69612788,,,,,,"{'requirement': 'Опыт работы в аналогичной должности. Уверенный пользователь ПК: Exсel, Word, 1C желательно. Навыки работы с большим объёмом информации. ', 'responsibility': 'Обработка и консолидация информации (мониторинги, фото, сенсус и т.д.). Ведение ассортиментных матриц (товарные нормы и их корректировка по торговым...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69665574,False,Специалист по коммерческому прогнозированию и планированию спроса,,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-09T15:10:54+0300,2022-09-09T15:10:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69665574,,https://api.hh.ru/vacancies/69665574?host=hh.ru,https://api.hh.ru/vacancies/69665574/adv_response?host=hh.ru,https://hh.ru/vacancy/69665574,[],"{'id': '6008748', 'name': 'INZARE', 'url': 'https://api.hh.ru/employers/6008748', 'alternate_url': 'https://hh.ru/employer/6008748', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/943525.png', '240': 'https://hhcdn.ru/employer-logo/4214637.png', '90': 'https://hhcdn.ru/employer-logo/4214636.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6008748', 'trusted': True}",Специалист по коммерческому прогнозированию и планированию спроса,https://api.hh.ru/vacancies/69665574?host=hh.ru,https://hh.ru/vacancy/69665574,,,,,,"{'requirement': 'Аналогичный опыт работы не менее 5 лет. Высшее образование (математика, экономика). Владеть инструментарием: бюджетирование, финансовые модели и анализ окупаемости проектов...', 'responsibility': 'Сбор и анализ коммерческих данных для подготовки прогноза продаж. Подготовка и защита прогноза продаж совместно с отделом маркетинга и коммерческой...'}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
68039572,False,Категорийный менеджер (Байер),,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Псков', 'street': 'Рижский проспект', 'building': '88', 'description': None, 'lat': 57.808885, 'lng': 28.279064, 'raw': 'Псков, Рижский проспект, 88', 'metro': None, 'metro_stations': [], 'id': '1277541'}",,,2022-09-05T17:51:39+0300,2022-09-05T17:51:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68039572,,https://api.hh.ru/vacancies/68039572?host=hh.ru,https://api.hh.ru/vacancies/68039572/adv_response?host=hh.ru,https://hh.ru/vacancy/68039572,[],"{'id': '1401076', 'name': 'Торговая сеть Мастер', 'url': 'https://api.hh.ru/employers/1401076', 'alternate_url': 'https://hh.ru/employer/1401076', 'logo_urls': {'90': 'https://hhcdn.ru/employer-logo/1529250.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/271680.jpg', '240': 'https://hhcdn.ru/employer-logo/1529251.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1401076', 'trusted': True}",Категорийный менеджер (Байер),https://api.hh.ru/vacancies/68039572?host=hh.ru,https://hh.ru/vacancy/68039572,,,,,,"{'requirement': 'Профильный опыт в коммерческой организации. Высшее экономическое образование. Знание основ экономики, маркетинга, логистики. Развитые аналитические способности, умение работать с массивами...', 'responsibility': '<highlighttext>Аналитика</highlighttext> рынка для формирования ассортиментной матрицы. Управление ценообразованием. Оценка потенциала и достижение устойчивого товарооборота. Инициирование программ продвижения товаров.'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69482909,False,Старший Системный аналитик (Big Data),"{'id': 'mts-3776-main', 'name': '«МТС» '}",False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-30T09:14:35+0300,2022-09-30T09:14:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69482909,,https://api.hh.ru/vacancies/69482909?host=hh.ru,https://api.hh.ru/vacancies/69482909/adv_response?host=hh.ru,https://hh.ru/vacancy/69482909,[],"{'id': '3776', 'name': 'МТС', 'url': 'https://api.hh.ru/employers/3776', 'alternate_url': 'https://hh.ru/employer/3776', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3096661.jpeg', '90': 'https://hhcdn.ru/employer-logo/3096660.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/663882.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3776', 'trusted': True}",Старший Системный аналитик (Big Data),https://api.hh.ru/vacancies/69482909?host=hh.ru,https://hh.ru/vacancy/69482909,,,,,,"{'requirement': 'Коммерческий опыт работы от 1 года. SQL. Linux (bash). Опыт сбора требований и документирования решений. Хорошее знание предметной области. ', 'responsibility': 'Поддержка существующих регламентных ETL процессов (HFL/rdb2hadoop/data_loader/DMBuilder/raw2dds). Отработка/устранение инцидентов DQ. '}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
69256955,False,Ассистент отдела персонала,,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 34500, 'to': 40500, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-29T11:56:15+0300,2022-09-29T11:56:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69256955,,https://api.hh.ru/vacancies/69256955?host=hh.ru,https://api.hh.ru/vacancies/69256955/adv_response?host=hh.ru,https://hh.ru/vacancy/69256955,[],"{'id': '40938', 'name': 'Улыбка радуги', 'url': 'https://api.hh.ru/employers/40938', 'alternate_url': 'https://hh.ru/employer/40938', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3556364.png', '90': 'https://hhcdn.ru/employer-logo/3556363.png', 'original': 'https://hhcdn.ru/employer-logo-original/778868.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=40938', 'trusted': True}",Ассистент отдела персонала,https://api.hh.ru/vacancies/69256955?host=hh.ru,https://hh.ru/vacancy/69256955,,,,,,"{'requirement': 'Высшее/неполное высшее образование. Желание развиваться в сфере управления персоналом. Активность, коммуникабельность, стрессоустойчивость. Готовность работать в режиме многозадачности. ', 'responsibility': 'Прием входящих звонков. Консультация кандидатов по вакансиям. Первичный отбор кандидатов. Ведение базы данных. Ведение <highlighttext>аналитики</highlighttext> по каналам коммуникации.'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
70475742,False,Менеджер проектов,,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 45000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Псков', 'street': 'улица Некрасова', 'building': '42', 'description': None, 'lat': 57.81854, 'lng': 28.343383, 'raw': 'Псков, улица Некрасова, 42', 'metro': None, 'metro_stations': [], 'id': '7286451'}",,,2022-09-28T15:53:04+0300,2022-09-28T15:53:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70475742,,https://api.hh.ru/vacancies/70475742?host=hh.ru,https://api.hh.ru/vacancies/70475742/adv_response?host=hh.ru,https://hh.ru/vacancy/70475742,[],"{'id': '6035714', 'name': 'Архитектурное бюро Stankevich.Design', 'url': 'https://api.hh.ru/employers/6035714', 'alternate_url': 'https://hh.ru/employer/6035714', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/940417.jpeg', '240': 'https://hhcdn.ru/employer-logo/4202209.jpeg', '90': 'https://hhcdn.ru/employer-logo/4202208.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6035714', 'trusted': True}",Менеджер проектов,https://api.hh.ru/vacancies/70475742?host=hh.ru,https://hh.ru/vacancy/70475742,,,,,,"{'requirement': 'Имеешь опыт работы Менеджером проектов от 3х лет. Имеешь высшее (предпочтительно техническое) образование. Классно анализируешь информацию и умеешь стратегически...', 'responsibility': 'Контроль осуществления своевременной оплаты заказчиком каждого этапа проекта. <highlighttext>Аналитика</highlighttext> результативности участников проектной команды, расчет их KPI. Ведение автоматизированного учета всех...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
68931200,False,Региональный менеджер по продажам,,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-23T15:29:06+0300,2022-09-23T15:29:06+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=68931200,,https://api.hh.ru/vacancies/68931200?host=hh.ru,https://api.hh.ru/vacancies/68931200/adv_response?host=hh.ru,https://hh.ru/vacancy/68931200,[],"{'id': '32569', 'name': 'Русклимат', 'url': 'https://api.hh.ru/employers/32569', 'alternate_url': 'https://hh.ru/employer/32569', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/246804.jpg', '90': 'https://hhcdn.ru/employer-logo/1429889.jpeg', '240': 'https://hhcdn.ru/employer-logo/1429890.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=32569', 'trusted': True}",Региональный менеджер по продажам,https://api.hh.ru/vacancies/68931200?host=hh.ru,https://hh.ru/vacancy/68931200,,,,,,"{'requirement': 'Опыт работы на рынке климатического, отопительного или сантехнического оборудования - ЖЕЛАТЕЛЬНО. Навыки ведения переговоров, прямых продаж. Уверенный пользователь ПК. ', 'responsibility': 'Выполнение планов продаж на закрепленной территории (Псковская область). Развитие существующей клиентской базы, поиск новых клиентов. Продвижение новых видов продукции, подготовка...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69172380,False,Middle Системный аналитик в МТС FIX (Big Data),"{'id': 'mts-3776-it', 'name': '«МТС», IT'}",False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2022-09-20T15:25:41+0300,2022-09-20T15:25:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69172380,,https://api.hh.ru/vacancies/69172380?host=hh.ru,https://api.hh.ru/vacancies/69172380/adv_response?host=hh.ru,https://hh.ru/vacancy/69172380,[],"{'id': '3776', 'name': 'МТС', 'url': 'https://api.hh.ru/employers/3776', 'alternate_url': 'https://hh.ru/employer/3776', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3096661.jpeg', '90': 'https://hhcdn.ru/employer-logo/3096660.jpeg', 'original': 'https://hhcdn.ru/employer-logo-original/663882.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3776', 'trusted': True}",Middle Системный аналитик в МТС FIX (Big Data),https://api.hh.ru/vacancies/69172380?host=hh.ru,https://hh.ru/vacancy/69172380,,,,,,"{'requirement': 'Коммерческий опыт работы от 1 года. Высокий уровень знания SQL. Знание теории построения DWH. Работа с высоконагруженными СУБД (Oracle SQL...', 'responsibility': 'Анализ полноты и корректности требований в поступающих заявках на отчетность. Анализ доступности источников информации, необходимых для реализации заявки. '}",,,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
70115790,False,Ассистент отдела маркетинга (офис-менеджер),,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 25000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2022-09-21T17:23:19+0300,2022-09-21T17:23:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=70115790,,https://api.hh.ru/vacancies/70115790?host=hh.ru,https://api.hh.ru/vacancies/70115790/adv_response?host=hh.ru,https://hh.ru/vacancy/70115790,[],"{'id': '4026855', 'name': 'Scorpion Group', 'url': 'https://api.hh.ru/employers/4026855', 'alternate_url': 'https://hh.ru/employer/4026855', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4026855', 'trusted': True}",Ассистент отдела маркетинга (офис-менеджер),https://api.hh.ru/vacancies/70115790?host=hh.ru,https://hh.ru/vacancy/70115790,,,,,,"{'requirement': 'владение социальными сетями (опыт в подготовке постов, сторис, <highlighttext>аналитика</highlighttext>). - быстрая обучаемость (проводим обучение работе в 1С). - коммуникабельность (готовность к...', 'responsibility': 'Помощь в проведении маркетинговых акций и их последующем анализе, помощь в наполнении сайта и ведении социальных сетей брендов, снятие <highlighttext>аналитики</highlighttext>. - '}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
69945961,False,Аналитик (сопровождение информационных систем),,False,False,"{'id': '75', 'name': 'Псков', 'url': 'https://api.hh.ru/areas/75'}","{'from': 25000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Псков', 'street': 'улица Малясова', 'building': '2', 'description': None, 'lat': 57.811738, 'lng': 28.324743, 'raw': 'Псков, улица Малясова, 2', 'metro': None, 'metro_stations': [], 'id': '7000529'}",,,2022-09-19T09:05:13+0300,2022-09-19T09:05:13+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=69945961,,https://api.hh.ru/vacancies/69945961?host=hh.ru,https://api.hh.ru/vacancies/69945961/adv_response?host=hh.ru,https://hh.ru/vacancy/69945961,[],"{'id': '5601508', 'name': 'ГКУЗ Псковской Области Медицинский Информационно-Аналитический Центр', 'url': 'https://api.hh.ru/employers/5601508', 'alternate_url': 'https://hh.ru/employer/5601508', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5601508', 'trusted': True}",Аналитик (сопровождение информационных систем),https://api.hh.ru/vacancies/69945961?host=hh.ru,https://hh.ru/vacancy/69945961,,,,,,"{'requirement': 'Опыт работы в программах Excel и Word.', 'responsibility': 'Организует аналитическое и методическое обеспечение проведения исследовательских работ. Проводит аналитическую работу с целью сбора, оценки и анализа получаемой информации, а...'}",,,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
